intent,patterns,bot_response
contact_sk,How do I reach the SK officials?,You can contact the SK Buhangin Proper through Facebook: SK Buhangin Proper or Email: skbuhanginproper@gmail.com.
role_sk_council,Can you explain the role of SK Council in Brgy Buhangin?,"The SK Council in Brgy. Buhangin plans, initiates, and implements programs, projects, and activities (PPAs) that promote youth welfare, empower the youth, and equip them with skills for nation-building."
contact_sk,SK Buhangin contact details,You can contact the SK Buhangin Proper through Facebook: SK Buhangin Proper or Email: skbuhanginproper@gmail.com.
sk_officials,Who are the current SK officials in Brgy. Buhangin?,"The SK Chairperson is Rizza Mae Busboso. SK members include Cristina Mae Verzon, Noriel R. Cabael, Ara P. Pabelonia, Lady Lee P. Baliong, Jay Nith M. Tan, Mark James B. Asumbrado, Jude Fritz P. Salvaleon. SK Secretary: John Vincent P. Cloma. SK Treasurer: Joy Mae E. Patalinghog."
contact_sk,How do I reach the SK officials?,You can contact the SK Buhangin Proper through Facebook: SK Buhangin Proper or Email: skbuhanginproper@gmail.com.
sk_office_hours,SK Buhangin office schedule,The SK Council office is open from 08:00 AM to 05:00 PM.
sk_programs,List the SK Buhangin projects and programs.,"The SK Council implements programs aligned with the 10 centers of youth participation: Social Inclusion, Health, Agriculture, Active Citizenship, Peace Building, Education, Environment, Economic Empowerment, Global Mobility, and Governance."
sk_office_hours,SK Buhangin office schedule,The SK Council office is open from 08:00 AM to 05:00 PM.
role_sk_council,What does the SK do in Buhangin?,"The SK Council in Brgy. Buhangin plans, initiates, and implements programs, projects, and activities (PPAs) that promote youth welfare, empower the youth, and equip them with skills for nation-building."
contact_sk,How can I contact the SK Chairperson or officials?,You can contact the SK Buhangin Proper through Facebook: SK Buhangin Proper or Email: skbuhanginproper@gmail.com.
sk_office_location,Where is the SK office located in the barangay?,"The SK Office is located at Km. 6 San Francisco St., Brgy. Buhangin Proper, Davao City."
role_sk_council,What is the role of the SK Council in Barangay Buhangin?,"The SK Council in Brgy. Buhangin plans, initiates, and implements programs, projects, and activities (PPAs) that promote youth welfare, empower the youth, and equip them with skills for nation-building."
contact_sk,How do I reach the SK officials?,You can contact the SK Buhangin Proper through Facebook: SK Buhangin Proper or Email: skbuhanginproper@gmail.com.
sk_office_hours,When is the SK office open?,The SK Council office is open from 08:00 AM to 05:00 PM.
sk_office_location,Where can I find the SK office in Buhangin Proper?,"The SK Office is located at Km. 6 San Francisco St., Brgy. Buhangin Proper, Davao City."
sk_office_hours,SK Buhangin office schedule,The SK Council office is open from 08:00 AM to 05:00 PM.
kk_membership,Who are members of the Katipunan ng Kabataan in Buhangin?,Members of the Katipunan ng Kabataan are youth aged 15–30 who reside in Brgy. Buhangin Proper and are registered with the KK.
sk_office_hours,What are the office hours of the SK Council?,The SK Council office is open from 08:00 AM to 05:00 PM.
