patterns,intent,bot_response
What is the role of the SK Council in Barangay Buhangin?,general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
Who are the current SK officials in Brgy. Buhangin?,general_officials,"Sangguniang Kabataan Officials of Brgy. Buhangin Proper SK Chairperson: RIZZA MAE BUSBOSO; SK Members: CRISTINA MAE VERZON, NORIEL R. CABAEL, ARA P. PABELONIA, LADY LEE P. BALIONG, JAY NITH M. TAN, MARK JAMES B. ASUMBRADO, JUDE FRITZ P. SALVALEON; SK Secretary: JOHN VINCENT P. CLOMA; SK Treasurer: JOY MAE E. PATALINGHOG."
Where is the SK office located in the barangay?,general_office_location,"It is located at Km. 6 San Francisco St. Brgy. Buhangin Proper, Davao City."
What are the office hours of the SK Council?,general_office_hours,Office hours: 08:00AM-05:00PM.
How can I contact the SK Chairperson or SK officials?,general_contact,You can contact us through the following: Facebook: SK Buhangin Proper; Email: skbuhanginproper@gmail.com.
How do I know about upcoming SK activities and announcements?,general_announcements,"To know more about the announcements and upcoming SK Activities, just follow our Official Facebook Account, email us, or visit us through our office, open from 8:00am to 5:00pm. We also have our respective Group Chats to inform our youth of the upcoming programs, projects, and activities of the SK Council."
Who are considered members of the Katipunan ng Kabataan (KK) in Brgy. Buhangin?,youth_membership,"The considered members of the Katipunan ng Kabataan (KK) are the youth aged 15-30 years old and currently residing at Brgy. Buhangin Proper, Davao City, and a registered KK."
How old do I have to be to be part of the Katipunan ng Kabataan?,youth_age_requirement,15-30 years old.
How can I register as a member of the KK?,youth_registration,You can be a member of the KK through registration by filling out your information through this link: https://forms.gle/6pp3fbyw7SZZeToZA or you can visit the SK Office to get your Hard Copy of Katipunan ng Kabataan Form.
What documents are needed to join or update my KK membership?,youth_requirements,Just 1-valid ID with proof of residency (address must be at Brgy. Buhangin Proper).
Can out-of-school youth join SK activities?,youth_osy_participation,We are actually encouraging our Out-of-School-Youths (OSYs) to join with our PPAs because most of our PPAs are for them.
Can working students or youth with jobs still join SK programs?,youth_working_students,Definitely yes. We are promoting Inclusivity here. Everyone is entitled to join regardless of gender and social status.
"Are SK projects only for youth, or can the whole community benefit?",youth_community_benefit,"There are PPAs that are implemented and only intended for the youth. Additionally, we are also implementing PPAs that the whole Brgy Buhangin community can benefit from and enjoy."
What types of programs does the SK Council usually implement?,programs_types,"The type of programs we implement is aligned with the 10 centers of youth participation: Social Inclusion, Health, Agriculture, Active Citizenship, Peace Building and Security, Education, Environment, Economic Empowerment, Global Mobility and Governance."
Does the SK provide sports activities like basketball or volleyball tournaments?,programs_sports,"Yes, we definitely conduct sports activities like basketball, volleyball, and rugby football every year in line with the annual celebration of Araw ng Barangay. These sports activities strongly promote inclusivity, camaraderie, and sportsmanship."
Does the SK have educational programs like scholarships or tutorials?,programs_education,"Unfortunately, we didn't offer scholarship programs way back because we saw that there were a lot of non-government organizations, local government units, and other educational institutions and stakeholders offering scholarship programs. On the other hand, we do have educational programs such as giving of Educational Materials and Equipment to the students, the Special Needs Education (SNEd) sector, and the Alternative Learning System (ALS) sector of our community."
Are there livelihood or skills training programs for the youth?,programs_livelihood,"One of these is the Food for Work Program. This program aims to control and mitigate floods in our barangay. With this, our youth joins with us to have a cleanup drive in exchange for food packs that will also help them with their livelihood and daily living."
What health and wellness projects are available for the youth?,programs_health,"The health and wellness projects that we have already implemented in the past years are Understanding Health Matters: Mental Health, Teenage Pregnancy, Illegal Drugs, HIV and AIDS Seminar, Giving Clinic Materials, and Installing Handwashing Facilities at various elementary schools of the barangay."
Does the SK support environmental programs like tree planting or clean-up drives?,programs_environment,"Yes. One of these is the Food for Work Program. This program aims to control and mitigate floods in our barangay. With this, our youth joins with us to have a cleanup drive in exchange for food packs that will also help them with their livelihood and daily living. On the other side, the SK also participates with invitations from other stakeholders to activities that promotes environmental protection and cleanliness, like tree-planting, coastal cleanup, and etc."
How do I join SK programs or activities?,programs_joining,"You can join SK Programs and Activities by contacting your SK Officials, KK Presidents of each purok, and visiting our SK Office to ask for the upcoming programs and activities."
Are there registration fees for SK activities?,programs_fees,There are no registration fees needed to join our SK Programs and Activities since these activities are funded by the SK Fund.
What is the role of the SK Council in Barangay Buhangin? (variation 1),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 2),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 3),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 4),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 5),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 6),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 7),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 8),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 9),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 10),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 11),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 12),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 13),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 14),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 15),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 16),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 17),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 18),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 19),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
What is the role of the SK Council in Barangay Buhangin? (variation 20),general_role,"The role of the SK Council in Brgy. Buhangin is to plan, initiate, and implement PPAs (Programs, Projects, and Activities) that promote youth welfare and development, aim to empower the youth, and equip them with necessary skills and abilities for involvement in nation-building."
